,ID,RA,DEC,FWHM_R,PROB_STAR,PROB_QSO,PROB_GAL
0,b'iDR3.STRIPE82-0001.000088',359.82176447675937,-1.4094522019267215,5.94842004776001,0.0,0.0,1.0
1,b'iDR3.STRIPE82-0001.000165',359.8983171777531,-1.406893890087187,5.268520832061768,0.01,0.0,0.99
2,b'iDR3.STRIPE82-0001.000195',359.51386369148315,-1.4059249276509815,10.027713775634766,0.0,0.0,1.0
3,b'iDR3.STRIPE82-0001.000395',359.5144485480516,-1.4005509494993127,9.778894424438477,0.0,0.0,1.0
4,b'iDR3.STRIPE82-0001.000409',359.4074077907685,-1.4001904395588152,5.183852672576904,0.0,0.0,1.0
5,b'iDR3.STRIPE82-0001.000433',0.4699941492567335,-1.400680739278803,7.895710468292236,0.06,0.0,0.94
6,b'iDR3.STRIPE82-0001.000640',0.4276622725660639,-1.3942456562123833,12.185962677001951,0.0,0.0,1.0
7,b'iDR3.STRIPE82-0001.000657',0.6619778370498633,-1.3937748175292457,6.294702053070068,0.06,0.02,0.92
8,b'iDR3.STRIPE82-0001.000789',0.685663672363507,-1.389904935425997,6.61725664138794,0.01,0.0,0.99
9,b'iDR3.STRIPE82-0001.000984',0.6673223625822773,-1.385016369580884,9.0252103805542,0.01,0.0,0.99
10,b'iDR3.STRIPE82-0001.001041',0.4210239044264214,-1.3837421138642774,6.287112236022949,0.06,0.09,0.85
11,b'iDR3.STRIPE82-0001.001086',0.2127439210506926,-1.385374107729499,7.497020244598389,0.0,0.0,1.0
12,b'iDR3.STRIPE82-0001.001102',0.1776156034465265,-1.382705895725233,6.376463890075684,0.02,0.23,0.75
13,b'iDR3.STRIPE82-0001.001114',359.9058988208116,-1.3823655146588385,9.18996810913086,0.0,0.0,1.0
14,b'iDR3.STRIPE82-0001.001143',359.8025747900286,-1.3851218221196624,13.958721160888672,0.0,0.0,1.0
15,b'iDR3.STRIPE82-0001.001151',359.4465935053455,-1.3813504948671618,9.571831703186035,0.0,0.0,1.0
16,b'iDR3.STRIPE82-0001.001178',0.3084521242346233,-1.3809588182612442,10.911540985107422,0.0,0.0,1.0
17,b'iDR3.STRIPE82-0001.001233',359.8934774139642,-1.37964133645318,5.203647613525391,0.06,0.09,0.85
18,b'iDR3.STRIPE82-0001.001250',0.3927684076012454,-1.3796791692275177,18.17776107788086,0.0,0.0,1.0
19,b'iDR3.STRIPE82-0001.001298',0.5282577512686748,-1.378169671232661,6.653200149536133,0.0,0.0,1.0
20,b'iDR3.STRIPE82-0001.001306',0.3139205300377635,-1.3780918724085731,6.275838851928711,0.08,0.05,0.87
21,b'iDR3.STRIPE82-0001.001323',359.3725393603361,-1.377537040650716,6.097919464111328,0.0,0.0,1.0
22,b'iDR3.STRIPE82-0001.001385',0.573935245833841,-1.3758634247390422,4.865788459777832,0.03,0.0,0.97
23,b'iDR3.STRIPE82-0001.001409',0.3730198740998893,-1.3754123799903717,9.86131191253662,0.0,0.0,1.0
24,b'iDR3.STRIPE82-0001.001454',0.6494118839082639,-1.3745948046126242,7.498985290527344,0.08,0.15,0.77
25,b'iDR3.STRIPE82-0001.001470',359.889939489733,-1.3758590293566288,8.39466381072998,0.01,0.01,0.98
26,b'iDR3.STRIPE82-0001.001485',0.3347964327369336,-1.373769370272131,8.0649995803833,0.0,0.0,1.0
27,b'iDR3.STRIPE82-0001.001491',0.3176350541420349,-1.3740062103897632,6.514678001403809,0.0,0.0,1.0
28,b'iDR3.STRIPE82-0001.001496',359.5272322541467,-1.3734094508225847,11.131881713867188,0.0,0.015,0.985
29,b'iDR3.STRIPE82-0001.001521',359.6256542166552,-1.3730592153443637,5.988729953765869,0.0,0.0,1.0
30,b'iDR3.STRIPE82-0001.001638',0.3781902153235567,-1.3700561899297572,5.2714948654174805,0.0,0.0,1.0
31,b'iDR3.STRIPE82-0001.001646',359.6923653384501,-1.3790493003317212,5.000191688537598,0.0,0.0,1.0
32,b'iDR3.STRIPE82-0001.001648',0.5371955843321832,-1.372387310771735,7.478904247283935,0.0,0.01,0.99
33,b'iDR3.STRIPE82-0001.001650',359.8526829308204,-1.3714884699593295,8.655380249023438,0.01,0.0,0.99
34,b'iDR3.STRIPE82-0001.001736',0.2803753439824886,-1.3680856795516565,8.034770965576172,0.0,0.03,0.97
35,b'iDR3.STRIPE82-0001.001847',0.1467874895400797,-1.3679492503822146,6.825607299804688,0.0,0.0,1.0
36,b'iDR3.STRIPE82-0001.001884',359.37993770815746,-1.364889335656809,5.441117286682129,0.01,0.0,0.99
37,b'iDR3.STRIPE82-0001.001967',0.0525448836195455,-1.3658533044538597,4.631381988525391,0.0,0.0,1.0
38,b'iDR3.STRIPE82-0001.001974',0.2374562299043295,-1.3707226778659642,26.129396438598636,0.08,0.0,0.92
39,b'iDR3.STRIPE82-0001.002089',359.7649069826716,-1.3601354780419177,7.49545955657959,0.0,0.0,1.0
40,b'iDR3.STRIPE82-0001.002162',0.2936230597764072,-1.3619128764240829,6.787559986114502,0.0,0.0,1.0
41,b'iDR3.STRIPE82-0001.002210',359.9805221756282,-1.3590861491102362,5.291051864624023,0.0,0.0,1.0
42,b'iDR3.STRIPE82-0001.002218',359.4060746179039,-1.3580015492551285,10.117602348327637,0.0,0.0,1.0
43,b'iDR3.STRIPE82-0001.002225',0.261007767676666,-1.3570896005278714,6.29642915725708,0.01,0.0,0.99
44,b'iDR3.STRIPE82-0001.002247',359.54330156611815,-1.3566183060776316,10.821492195129396,0.0,0.0,1.0
45,b'iDR3.STRIPE82-0001.002362',0.2314627721574696,-1.3548431525704516,14.314642906188965,0.0,0.0,1.0
46,b'iDR3.STRIPE82-0001.002378',0.2177871818654652,-1.3547368229687513,7.476225852966309,0.0,0.0,1.0
47,b'iDR3.STRIPE82-0001.002566',0.3582239007988412,-1.3482794360082595,4.168893337249756,0.03,0.01,0.96
48,b'iDR3.STRIPE82-0001.002639',0.6051532725440262,-1.353620895475594,6.197373867034912,0.02,0.0,0.98
49,b'iDR3.STRIPE82-0001.002694',359.53993351217207,-1.3458563717819567,10.896522521972656,0.0,0.0,1.0
50,b'iDR3.STRIPE82-0001.002697',359.88969855588044,-1.3454444959674672,6.543996810913086,0.0,0.0,1.0
51,b'iDR3.STRIPE82-0001.002706',0.0666256494924071,-1.3516970414659564,10.002851486206056,0.0,0.0,1.0
52,b'iDR3.STRIPE82-0001.002711',0.1452887557414433,-1.3469812028371444,7.969838619232178,0.0,0.0,1.0
